keys,en,ru,zh_CN
TR_LANG_DISPLAY_NAME,English,Русский (Бета),简体中文
TR_LANG_SYSTEM,System,Системный,系统
TR_ABERRATION,Aberration,Аберрация,色差
TR_ABOUT,About,О программе,关于
TR_ABOUT_FULL,PNGTubing is designed to be as lightweight and easy to use as possible. I prefer the models to be called puppets or paper dolls.,PNGTubing сделан максимально лёгким и простым в использовании. Модели лучше называть кукольными или «бумажными».,一款PNGTubing软件，为极尽所能的轻便易用而生。我更喜欢把模型称为木偶或纸娃娃模型。
TR_ACHROMATOPSIA,Achromatopsia,Ахроматопсия,全色盲
TR_ADD,Add,Добавить,新增
TR_ADD_APPENDAGE,Add Appendage Image,Добавить изображение придатка,新增附件图像
TR_ADD_FOLDER,Add Folder,Добавить папку,添加文件夹
TR_ADD_IMAGE,Add Image,Добавить изображение,新增图像
TR_ADD_KEY,Add Key,Добавить клавишу,新增按键
TR_ADD_LAYER,Add Layer,Добавить слой,添加图层
TR_ADD_MESH,Add Mesh,Добавить сетку,添加网格
TR_ADD_NEW_STATE,Add new State,Добавить новое состояние,新增状态
TR_ADD_OBJECT_WITH_OFFSET,Add Object with offset?\n(for Trimmed Images),Добавить объект со смещением?\n(для обрезанных изображений),"使用偏移添加对象？\n(适用于已裁剪的图片)"
TR_ADD_SPRITES,Add Sprites,Добавить спрайты,添加精灵
TR_ADD_SPRITE_AS_APPENDAGE,Add Sprite as Appendage,Добавить спрайт как придаток,将精灵添加为摆动附件
TR_ADD_WINDOW,Add Window,Добавить окно,新增窗口
TR_ADVANCED_LIP_SYNC,Advanced Lip Sync,Расширенная синхронизация губ,高级嘴型同步
TR_ADVANCED_LIP_SYNC_TOOLTIP,Works only if the mouth shapes are in a sprite sheet. 14 frames.\n(Check the lip-sync settings),Работает только если формы рта находятся в спрайт-листе. 14 кадров.\n(См. настройки синхронизации губ),只有当嘴的形状在精灵表中时才有效。14帧\n(检查嘴型同步配置)
TR_ALPHA_TRESHOLD,Alpha Threshold,Порог альфа-канала,透明度阈值
TR_ALWAYS_ON_TOP,Always on Top,Поверх всех окон,窗口始终置顶
TR_AMOUNT,Amount,Количество,数量
TR_ANCHOR_LABEL,Anchor,Якорь,锚点
TR_ANGLE,Angle,Угол,角度
TR_ANIMATE_TO_MOUSE,Animate to Follow,Анимация за курсором,动画跟随
TR_ANIMATE_TO_MOUSE_TOOLTIP,Animates the sprite sheet based on mouse position (horizontal and vertical),Анимирует спрайт-лист по положению мыши (по горизонтали и вертикали),根据“跟随移动”的设置来改变精灵表动画
TR_ANIMATION,Animation,Анимация,动画
TR_ANIMATION_BOUNCY,Bouncy,Прыгучий,持续弹跳
TR_ANIMATION_FRAMES_H,Horizontal Animation Frames,Горизонтальные кадры анимации,水平动画帧数
TR_ANIMATION_FRAMES_V,Vertical Animation Frames,Вертикальные кадры анимации,垂直动画帧数
TR_ANIMATION_ONE_BOUNCE,One Bounce,Один отскок,单次弹跳
TR_ANIMATION_ONE_SHOT,One Shot,Один раз,只播放一次
TR_ANIMATION_ONE_SHOT_TOOLTIP,"Sets any animation type (APNG, GIF or SpriteSheet) to only play once.","Любая анимация (APNG, GIF или атлас) проигрывается только один раз.",将任何动画类型(APNG、GIF或SpriteSheet)设置为只播放一次。
TR_ANIMATION_RESET,Animation Reset,Сброс анимации,动画重置
TR_ANIMATION_SPEED,Animation Speed,Скорость анимации,动画速度
TR_ANIMATION_SQUISH,Squish,Сжатие,挤压
TR_ANIMATION_WOBBLE,Wobble,Покачивание,摇晃
TR_ANTI_ALIASING,Anti-Aliasing,Сглаживание,抗锯齿
TR_APPLY,Apply,Применить,应用
TR_ARROW_KEYS,Arrow Keys,Клавиши со стрелками,方向键
