key,en,,
About,About,,
Animation,Animation,,
Audio,Audio,,
Basic Concepts,Basic Concepts,,
Basic Controls,Basic Controls,,
BG Color,BG Color,,
Bounce,Bounce,,
Experimental,Experimental,,
FAQ,FAQ,,
Files,Files,,
Import Settings,Import Settings,,
Light,Light,,
Misc,Misc,,
Mode,Mode,,
Model,Model,,
Model Settings,Model Settings,,
Movement,Movement,,
Properties,Properties,,
Remix Settings,Remix Settings,,
Settings,Settings,,
Shortcuts,Shortcuts,,
TR_ABOUT_FULL,PNGTubing made to be as lightweight and easy to use as possible. I prefer if models were referred to as Puppet or Paper-Doll models.,,
TR_ABOUT,About,,
TR_ACHROMATOPSIA,Achromatopsia,,
TR_ADD_APPENDAGE,Add Appendage Based Image,,
TR_ADD_IMAGE,Add Image,,
TR_ADD_KEY,Add Key,,
TR_ADD_NEW_STATE,Add new State,,
TR_ADD,Add,,
TR_ADVANCED_LIP_SYNC_TOOLTIP,Only works if your mouth shapes are in a sprite-sheet. 14 frames\n(Check the Lipsync configuration),,
TR_ADVANCED_LIP_SYNC,Advanced Lipsync,,
TR_ALWAYS_ON_TOP,Always on Top,,
TR_AMOUNT,Amount,,
TR_ANCHOR_LABEL,Anchor :,,
TR_ANIMATE_TO_MOUSE_TOOLTIP,Animates SpriteSheet depending on mouse position (Horizontally and Vertically),,
TR_ANIMATE_TO_MOUSE,Animate to Follow,,
TR_ANIMATION_BOUNCY,Bouncy,,
TR_ANIMATION_FRAMES_H,Horizontal Animation Frames,,
TR_ANIMATION_FRAMES_V,Vertical Animation Frames,,
TR_ANIMATION_ONE_BOUNCE,One Bounce,,
TR_ANIMATION_ONE_SHOT_TOOLTIP,"Sets any animation type (APNG, GIF or SpriteSheet) to only play once.",,
TR_ANIMATION_ONE_SHOT,One Shot,,
TR_ANIMATION_RESET,Animation Reset,,
TR_ANIMATION_SPEED,Animation Speed,,
TR_ANIMATION_SQUISH,Squish,,
TR_ANIMATION_WOBBLE,Wobble,,
TR_ANIMATION,Animation,,
TR_ANTI_ALIASING,Anti-Aliasing,,
TR_ARROW_KEYS_LR,Arrow Keys (LR),,
TR_ARROW_KEYS_UD,Arrow Keys (UD),,
TR_ARROW_KEYS,Arrow Keys,,
TR_ASSET_MODEL_DEMO,Asset Model Demo,,
TR_ASSETS,Assets,,
TR_AURA,Aura,,
TR_AUTO_LOAD_MODEL,Auto-Load Model,,
TR_AUTO_ROTATION,Auto Rotation,,
